"",N,absolute.x,absolute.Freq,relative.x,relative.Freq
sex.1,61662472,1,27651557,1,0.448434130243757
sex.2,61662472,2,34010915,2,0.551565869756243
race.1,61662472,0,669395,0,0.0108557924826627
race.2,61662472,1,52044489,1,0.844022098238293
race.3,61662472,2,5421282,2,0.0879186614510038
race.4,61662472,3,1090284,3,0.0176814838042821
race.5,61662472,4,1115651,4,0.018092868544096
race.6,61662472,5,1146156,5,0.0185875778707023
race.7,61662472,6,175215,6,0.00284151760895995
dual.1,61662472,0,53991858,0,0.875603203193022
dual.2,61662472,1,7670614,1,0.124396796806978
entry_age_break.y.1,61662472,1,34004229,1,0.551457440759106
entry_age_break.y.2,61662472,2,3741962,2,0.0606845927292698
entry_age_break.y.3,61662472,3,3397362,3,0.0550961044831287
entry_age_break.y.4,61662472,4,3164910,4,0.0513263561668433
entry_age_break.y.5,61662472,5,2929001,5,0.0475005445775836
entry_age_break.y.6,61662472,6,2727204,6,0.0442279381858061
entry_age_break.y.7,61662472,7,2485643,7,0.0403104663076109
entry_age_break.y.8,61662472,8,2115662,8,0.0343103662791852
entry_age_break.y.9,61662472,9,1787953,9,0.0289958047740934
entry_age_break.y.10,61662472,10,1466618,10,0.0237846124625039
entry_age_break.y.11,61662472,11,1189246,11,0.0192863821612601
entry_age_break.y.12,61662472,12,900528,12,0.0146041501547327
entry_age_break.y.13,61662472,13,646677,13,0.0104873674217926
entry_age_break.y.14,61662472,14,442774,14,0.00718060735547547
entry_age_break.y.15,61662472,15,273849,15,0.0044410966851929
entry_age_break.y.16,61662472,16,158001,16,0.00256235267376241
entry_age_break.y.17,61662472,17,228216,17,0.00370105175154185
entry_age_break.y.18,61662472,18,1568,18,2.54287567322958e-05
entry_age_break.y.19,61662472,19,634,19,1.02817804644614e-05
entry_age_break.y.20,61662472,20,208,20,3.37320242367189e-06
entry_age_break.y.21,61662472,21,86,21,1.39468946363357e-06
entry_age_break.y.22,61662472,22,40,22,6.48692773783056e-07
entry_age_break.y.23,61662472,23,17,23,2.75694428857799e-07
entry_age_break.y.24,61662472,24,9,24,1.45955874101188e-07
entry_age_break.y.25,61662472,25,75,25,1.21629895084323e-06
region.1,61662472,Midwest,14656222,Midwest,0.237684632559006
region.2,61662472,Northeast,12354729,Northeast,0.200360585608699
region.3,61662472,South,23483516,South,0.380839678305469
region.4,61662472,West,11168005,West,0.181115103526826
