"","park","ndvi_summer","occur_bs_1000m","poverty","medianhousevalue","medhouseholdincome","pct_owner_occ","education","pct_blk","hispanic","popdensity","smoke_rate","summer_tmmx","summer_sph","summer_pr","occur_bs","pm25","no2"
"park",1,-0.225928947397465,0.22594812212903,-0.101537451207646,0.395831311422614,0.207060812260196,-0.147131829742245,-0.205395308846887,0.00121129239491836,0.195481627517826,0.307787412224375,-0.0491872391996738,-0.239375487357886,-0.295938971623005,-0.124054112913634,0.147799862771309,-0.183780581295189,0.270137435907162
"ndvi_summer",-0.225928947397465,1,0.00289602335255871,-0.172744424658031,-0.238097630422776,0.0176741398311939,0.473745672568179,-0.0627589004442492,-0.225248846396181,-0.631463399630195,-0.566672734739219,0.307113128914266,-0.255532356786753,0.194890890076856,0.370358580193755,0.108874238982629,-0.047922901522268,-0.512808765078794
"occur_bs_1000m",0.22594812212903,0.00289602335255871,1,-0.0421911618442013,0.10699730000652,0.0607284222141879,-0.0156330983763223,-0.100724567085138,0.0672890173313983,-0.0430662371736441,0.0676722528072662,0.150227725580531,-0.119520066201063,0.134321748944026,0.184337145269338,0.829273529438212,-0.115092576552045,-0.040791891324268
"poverty",-0.101537451207646,-0.172744424658031,-0.0421911618442013,1,-0.366605456249556,-0.609699403834631,-0.390138637671897,0.589773720905618,0.31900639414574,0.139268149832984,0.0458102317905292,-0.049381185379831,0.17815877362291,0.167537315056307,0.0341212050990727,-0.0716759554709218,0.114875327206066,-0.0159470362413539
"medianhousevalue",0.395831311422614,-0.238097630422776,0.10699730000652,-0.366605456249556,1,0.749709560823004,-0.0843064972448283,-0.536225720873218,-0.0663692003718947,0.315195612818676,0.463467449866985,-0.267068851228571,-0.257172141509021,-0.349092518473786,-0.209069330265184,0.00781102464438408,-0.190747025972264,0.32106819734227
"medhouseholdincome",0.207060812260196,0.0176741398311939,0.0607284222141879,-0.609699403834631,0.749709560823004,1,0.306865632860993,-0.629215630457397,-0.186371864133334,0.0848937845875541,0.214293956311751,-0.181009890838939,-0.179759223148448,-0.201109331839048,-0.0845229964719992,0.0470465587461225,-0.138749314571343,0.171492071539361
"pct_owner_occ",-0.147131829742245,0.473745672568179,-0.0156330983763223,-0.390138637671897,-0.0843064972448283,0.306865632860993,1,-0.163075376098961,-0.434790030190946,-0.474586107061301,-0.555485020867952,0.227746843278867,-0.0512813835797185,0.0770911378706406,0.156299388075835,0.0946355885131932,-0.0855586195341646,-0.348707327957282
"education",-0.205395308846887,-0.0627589004442492,-0.100724567085138,0.589773720905618,-0.536225720873218,-0.629215630457397,-0.163075376098961,1,0.220114985111125,0.0275460784794481,-0.0732835345311484,0.022699410050871,0.141496782689584,0.208096189431646,0.069314683996117,-0.100782119287444,0.368472858932669,0.0406923565113328
"pct_blk",0.00121129239491836,-0.225248846396181,0.0672890173313983,0.31900639414574,-0.0663692003718947,-0.186371864133334,-0.434790030190946,0.220114985111125,1,0.251794223896198,0.411769181750967,-0.157946528470186,0.306845367445344,0.393505198458436,0.195411670914231,0.0207338238341688,0.262752335980015,0.24192434774523
"hispanic",0.195481627517826,-0.631463399630195,-0.0430662371736441,0.139268149832984,0.315195612818676,0.0848937845875541,-0.474586107061301,0.0275460784794481,0.251794223896198,1,0.505324997684456,-0.353415253466079,0.239538949166627,-0.133510537726504,-0.277719352110012,-0.102492599448215,-0.0804272968322242,0.367474285974593
"popdensity",0.307787412224375,-0.566672734739219,0.0676722528072662,0.0458102317905292,0.463467449866985,0.214293956311751,-0.555485020867952,-0.0732835345311484,0.411769181750967,0.505324997684456,1,-0.289420093183133,-0.0587991469984787,-0.0635140718119478,-0.0642705720811053,-0.0979073934978894,0.216198689239549,0.722417930945678
"smoke_rate",-0.0491872391996738,0.307113128914266,0.150227725580531,-0.049381185379831,-0.267068851228571,-0.181009890838939,0.227746843278867,0.022699410050871,-0.157946528470186,-0.353415253466079,-0.289420093183133,1,-0.137358724534272,0.0588457649342194,0.210516286469038,0.169420242537149,-0.090344129179481,-0.242293094377099
"summer_tmmx",-0.239375487357886,-0.255532356786753,-0.119520066201063,0.17815877362291,-0.257172141509021,-0.179759223148448,-0.0512813835797185,0.141496782689584,0.306845367445344,0.239538949166627,-0.0587991469984787,-0.137358724534272,1,0.464795848219307,-0.0168645024687605,-0.0354494336115026,0.0775411229155682,-0.0982162139352425
"summer_sph",-0.295938971623005,0.194890890076856,0.134321748944026,0.167537315056307,-0.349092518473786,-0.201109331839048,0.0770911378706406,0.208096189431646,0.393505198458436,-0.133510537726504,-0.0635140718119478,0.0588457649342194,0.464795848219307,1,0.622195118103061,0.168934073670534,0.270104029042864,-0.207147627772809
"summer_pr",-0.124054112913634,0.370358580193755,0.184337145269338,0.0341212050990727,-0.209069330265184,-0.0845229964719992,0.156299388075835,0.069314683996117,0.195411670914231,-0.277719352110012,-0.0642705720811053,0.210516286469038,-0.0168645024687605,0.622195118103061,1,0.205545066311348,0.0755566605870484,-0.137251453825322
"occur_bs",0.147799862771309,0.108874238982629,0.829273529438212,-0.0716759554709218,0.00781102464438408,0.0470465587461225,0.0946355885131932,-0.100782119287444,0.0207338238341688,-0.102492599448215,-0.0979073934978894,0.169420242537149,-0.0354494336115026,0.168934073670534,0.205545066311348,1,-0.138381824907245,-0.163899851641415
"pm25",-0.183780581295189,-0.047922901522268,-0.115092576552045,0.114875327206066,-0.190747025972264,-0.138749314571343,-0.0855586195341646,0.368472858932669,0.262752335980015,-0.0804272968322242,0.216198689239549,-0.090344129179481,0.0775411229155682,0.270104029042864,0.0755566605870484,-0.138381824907245,1,0.382045292758248
"no2",0.270137435907162,-0.512808765078794,-0.040791891324268,-0.0159470362413539,0.32106819734227,0.171492071539361,-0.348707327957282,0.0406923565113328,0.24192434774523,0.367474285974593,0.722417930945678,-0.242293094377099,-0.0982162139352425,-0.207147627772809,-0.137251453825322,-0.163899851641415,0.382045292758248,1
